Dates;Open;Close;High;Low
18/04/2019 10:30:00;3,9341;3,9359;3,9359;3,9338
18/04/2019 10:31:00;3,9359;3,9357;3,9369;3,9356
18/04/2019 10:32:00;3,9357;3,9355;3,9358;3,9353
18/04/2019 10:33:00;3,9355;3,9356;3,936;3,9354
18/04/2019 10:34:00;3,9356;3,9338;3,9356;3,9337
18/04/2019 10:35:00;3,9338;3,9316;3,9338;3,9311
18/04/2019 10:36:00;3,9316;3,9309;3,9318;3,9309
18/04/2019 10:37:00;3,9309;3,9305;3,9309;3,9302
18/04/2019 10:38:00;3,9305;3,9297;3,9306;3,9295
18/04/2019 10:39:00;3,9297;3,9295;3,93;3,9291
18/04/2019 10:40:00;3,9295;3,9287;3,9295;3,9286
18/04/2019 10:41:00;3,9287;3,9286;3,9288;3,9283
18/04/2019 10:42:00;3,9286;3,9293;3,9295;3,9285
18/04/2019 10:43:00;3,9293;3,9302;3,9303;3,929
18/04/2019 10:44:00;3,9302;3,9302;3,9303;3,9293
18/04/2019 10:45:00;3,9302;3,9302;3,9309;3,93
18/04/2019 10:46:00;3,9302;3,9288;3,9302;3,9287
18/04/2019 10:47:00;3,9288;3,9291;3,9299;3,9287
18/04/2019 10:48:00;3,9291;3,9286;3,9291;3,9282
18/04/2019 10:49:00;3,9286;3,929;3,93;3,9286
18/04/2019 10:50:00;3,929;3,929;3,9292;3,9282
18/04/2019 10:51:00;3,929;3,9287;3,9292;3,9286
18/04/2019 10:52:00;3,9287;3,931;3,931;3,9287
18/04/2019 10:53:00;3,9309;3,93;3,9309;3,9299
18/04/2019 10:54:00;3,93;3,93;3,9305;3,93
18/04/2019 10:55:00;3,93;3,9294;3,93;3,9286
18/04/2019 10:56:00;3,9294;3,9299;3,93;3,929
18/04/2019 10:57:00;3,9299;3,9299;3,9301;3,9296
18/04/2019 10:58:00;3,9299;3,9299;3,9306;3,9295
18/04/2019 10:59:00;3,9299;3,9304;3,9308;3,9296
18/04/2019 11:00:00;3,9304;3,9318;3,9318;3,93
18/04/2019 11:01:00;3,9316;3,9319;3,9322;3,9316
18/04/2019 11:02:00;3,9319;3,9316;3,9328;3,9316
18/04/2019 11:03:00;3,9316;3,9327;3,9327;3,9316
18/04/2019 11:04:00;3,9327;3,9326;3,9328;3,9322
18/04/2019 11:05:00;3,9328;3,9337;3,934;3,9327
18/04/2019 11:06:00;3,9338;3,9328;3,9338;3,9323
18/04/2019 11:07:00;3,9328;3,9315;3,933;3,9315
18/04/2019 11:08:00;3,9315;3,9306;3,9315;3,9297
18/04/2019 11:09:00;3,9306;3,9307;3,9311;3,9304
18/04/2019 11:10:00;3,9307;3,9313;3,9318;3,9307
18/04/2019 11:11:00;3,9313;3,9313;3,9316;3,9307
18/04/2019 11:12:00;3,9313;3,9312;3,9316;3,931
18/04/2019 11:13:00;3,9313;3,9316;3,9321;3,9313
18/04/2019 11:14:00;3,9316;3,9311;3,9318;3,931
18/04/2019 11:15:00;3,9311;3,9319;3,9325;3,931
18/04/2019 11:16:00;3,9319;3,9323;3,9325;3,9314
18/04/2019 11:17:00;3,9323;3,933;3,933;3,9319
18/04/2019 11:18:00;3,933;3,9343;3,9343;3,933
18/04/2019 11:19:00;3,9343;3,9362;3,9362;3,9343
18/04/2019 11:20:00;3,9362;3,939;3,9391;3,9362
18/04/2019 11:21:00;3,939;3,9398;3,94;3,9388
18/04/2019 11:22:00;3,9398;3,9395;3,9399;3,9391
18/04/2019 11:23:00;3,9395;3,9393;3,94;3,9391
18/04/2019 11:24:00;3,9392;3,9402;3,9402;3,9391
18/04/2019 11:25:00;3,9402;3,9416;3,9422;3,9402
18/04/2019 11:26:00;3,9416;3,9399;3,9416;3,9399
18/04/2019 11:27:00;3,9399;3,9401;3,9406;3,9393
18/04/2019 11:28:00;3,9401;3,9406;3,9406;3,9398
18/04/2019 11:29:00;3,9405;3,9411;3,9416;3,9404
18/04/2019 11:30:00;3,941;3,9414;3,9417;3,941
18/04/2019 11:31:00;3,9414;3,9424;3,9425;3,9414
18/04/2019 11:32:00;3,9423;3,9421;3,9427;3,942
18/04/2019 11:33:00;3,9421;3,9435;3,9435;3,9419
18/04/2019 11:34:00;3,9437;3,9446;3,9453;3,9435
18/04/2019 11:35:00;3,9446;3,9434;3,9446;3,9428
18/04/2019 11:36:00;3,9433;3,9453;3,9455;3,9432
18/04/2019 11:37:00;3,9453;3,9456;3,9462;3,9453
18/04/2019 11:38:00;3,9456;3,9451;3,9456;3,9451
18/04/2019 11:39:00;3,9451;3,9451;3,9451;3,9451
18/04/2019 11:40:00;3,9451;3,9493;3,9499;3,9451
18/04/2019 11:41:00;3,9494;3,9488;3,9496;3,9483
18/04/2019 11:42:00;3,9488;3,949;3,9496;3,9488
18/04/2019 11:43:00;3,949;3,9497;3,9498;3,949
18/04/2019 11:44:00;3,9496;3,9482;3,9496;3,9482
18/04/2019 11:45:00;3,9481;3,9465;3,9483;3,9464
18/04/2019 11:46:00;3,9465;3,9454;3,9466;3,9454
18/04/2019 11:47:00;3,9454;3,9461;3,9461;3,9454
18/04/2019 11:48:00;3,9461;3,9465;3,947;3,946
18/04/2019 11:49:00;3,9465;3,9463;3,9469;3,9461
18/04/2019 11:50:00;3,9463;3,948;3,9481;3,9461
18/04/2019 11:51:00;3,948;3,9484;3,9488;3,9478
18/04/2019 11:52:00;3,9484;3,9482;3,9487;3,9481
18/04/2019 11:53:00;3,9482;3,9482;3,9486;3,9481
18/04/2019 11:54:00;3,9481;3,9485;3,9488;3,9481
18/04/2019 11:55:00;3,9484;3,948;3,9486;3,9471
18/04/2019 11:56:00;3,9479;3,9492;3,9492;3,9474
18/04/2019 11:57:00;3,9493;3,9492;3,9506;3,9492
18/04/2019 11:58:00;3,9492;3,9479;3,9496;3,9476
18/04/2019 11:59:00;3,9479;3,9476;3,9484;3,9476
18/04/2019 12:00:00;3,9476;3,9474;3,9476;3,9467
18/04/2019 12:01:00;3,9474;3,9475;3,9478;3,9471
18/04/2019 12:02:00;3,9475;3,9451;3,9475;3,9451
18/04/2019 12:03:00;3,945;3,9448;3,9458;3,9448
18/04/2019 12:04:00;3,9447;3,9458;3,9459;3,9446
18/04/2019 12:05:00;3,9458;3,9436;3,946;3,9436
18/04/2019 12:06:00;3,9436;3,9423;3,9436;3,9422
18/04/2019 12:07:00;3,9423;3,9429;3,9429;3,9422
18/04/2019 12:08:00;3,9429;3,943;3,9433;3,9426
18/04/2019 12:09:00;3,943;3,9414;3,943;3,9412
18/04/2019 12:10:00;3,9414;3,9402;3,9416;3,9401
18/04/2019 12:11:00;3,9402;3,94;3,9409;3,9399
18/04/2019 12:12:00;3,94;3,9391;3,94;3,9391
18/04/2019 12:13:00;3,9391;3,9394;3,9395;3,939
18/04/2019 12:14:00;3,9394;3,9388;3,9395;3,9388
18/04/2019 12:15:00;3,9388;3,9386;3,9388;3,9383
18/04/2019 12:16:00;3,9385;3,937;3,9385;3,937
18/04/2019 12:17:00;3,937;3,937;3,9372;3,9366
18/04/2019 12:18:00;3,937;3,9365;3,9376;3,9365
18/04/2019 12:19:00;3,9365;3,9364;3,9366;3,9361
18/04/2019 12:20:00;3,9364;3,9364;3,9372;3,9362
18/04/2019 12:21:00;3,9364;3,9371;3,9373;3,9364
18/04/2019 12:22:00;3,9371;3,9376;3,9377;3,9369
18/04/2019 12:23:00;3,9376;3,9372;3,9378;3,9371
18/04/2019 12:24:00;3,9372;3,9362;3,9372;3,9361
18/04/2019 12:25:00;3,9362;3,9366;3,9367;3,9361
18/04/2019 12:26:00;3,9366;3,9361;3,9366;3,9361
18/04/2019 12:27:00;3,9361;3,9374;3,9375;3,9361
18/04/2019 12:28:00;3,9374;3,937;3,9376;3,937
18/04/2019 12:29:00;3,9369;3,9346;3,937;3,9346
18/04/2019 12:30:00;3,9346;3,9346;3,9353;3,9343
18/04/2019 12:31:00;3,9345;3,9346;3,9348;3,9344
18/04/2019 12:32:00;3,9346;3,9346;3,9351;3,9344
18/04/2019 12:33:00;3,9346;3,9341;3,9346;3,9341
18/04/2019 12:34:00;3,9341;3,9337;3,9341;3,9337
18/04/2019 12:35:00;3,9337;3,9337;3,9341;3,9337
18/04/2019 12:36:00;3,9337;3,9334;3,9339;3,9334
18/04/2019 12:37:00;3,9334;3,933;3,9334;3,9322
18/04/2019 12:38:00;3,933;3,933;3,9336;3,9327
18/04/2019 12:39:00;3,933;3,934;3,9341;3,933
18/04/2019 12:40:00;3,934;3,9345;3,9346;3,9339
18/04/2019 12:41:00;3,9345;3,9346;3,9346;3,9344
18/04/2019 12:42:00;3,9346;3,9351;3,9351;3,9345
18/04/2019 12:43:00;3,9351;3,9346;3,9351;3,9346
18/04/2019 12:44:00;3,9347;3,9341;3,9347;3,9341
18/04/2019 12:45:00;3,9341;3,9339;3,9341;3,9337
18/04/2019 12:46:00;3,9339;3,9348;3,9348;3,9339
18/04/2019 12:47:00;3,9348;3,9353;3,9356;3,9348
18/04/2019 12:48:00;3,9353;3,9344;3,9353;3,9343
18/04/2019 12:49:00;3,9344;3,9341;3,9351;3,9341
18/04/2019 12:50:00;3,9341;3,9337;3,9342;3,9337
18/04/2019 12:51:00;3,9337;3,9343;3,9344;3,9332
18/04/2019 12:52:00;3,9341;3,9339;3,9345;3,9339
18/04/2019 12:53:00;3,9339;3,9332;3,934;3,9332
18/04/2019 12:54:00;3,9332;3,9339;3,9342;3,933
18/04/2019 12:55:00;3,9339;3,9335;3,9341;3,9334
18/04/2019 12:56:00;3,9335;3,9331;3,9336;3,9323
18/04/2019 12:57:00;3,9331;3,9326;3,9331;3,9324
18/04/2019 12:58:00;3,9326;3,9323;3,933;3,9323
18/04/2019 12:59:00;3,9323;3,9311;3,9325;3,931
18/04/2019 13:00:00;3,9311;3,9318;3,932;3,9311
18/04/2019 13:01:00;3,9318;3,9326;3,9326;3,9318
18/04/2019 13:02:00;3,9326;3,9336;3,9336;3,9325
18/04/2019 13:03:00;3,9336;3,9343;3,9343;3,9336
18/04/2019 13:04:00;3,9343;3,9343;3,9346;3,9337
18/04/2019 13:05:00;3,9343;3,9345;3,9345;3,9341
18/04/2019 13:06:00;3,9345;3,9357;3,9358;3,9345
18/04/2019 13:07:00;3,9358;3,9355;3,9365;3,9351
18/04/2019 13:08:00;3,9355;3,9358;3,9359;3,9354
